Keys:		16 bytes each
Values: 	1000 bytes each
Entries:	300000
IndexSize:	7.15 MiB (estimated)
DataSize:	287.25 MiB (estimated)
---------------------------------------------------------------------------------------------------
Date:		Wed Apr  2 20:10:45 2025
CPU:		2 * AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx
CPUCache:	512 KB
---------------------------------------------------------------------------------------------------
Starting benchmark...
Requested Total Ops: 300000
Threads: 10, Write Ratio: 20%
Random Keys: Yes
---------------------------------------------------------------------------------------------------
[5301] 02 Apr 20:10:45.205 . file.c:200 Creating directory structure: testdb/si
[5301] 02 Apr 20:10:45.205 - file.c:211  -> Creating testdb
[5301] 02 Apr 20:10:45.220 - file.c:211  -> Creating testdb/si
[5301] 02 Apr 20:10:45.222 . sst.c:283 Manifest file not present
[5301] 02 Apr 20:10:45.289 . db.c:58 Starting compaction of the memtable after 4117 insertions and 0 deletions
[5301] 02 Apr 20:10:45.290 . sst.c:595 IN sst_merge the REFCOUNT IS at 3
[5301] 02 Apr 20:10:45.290 - log.c:159 Log file testdb/si/1.log created
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.291 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
[5301] 02 Apr 20:10:45.292 - sst.c:660 Serving sst_get request from immutable memtable
