Keys:		16 bytes each
Values: 	1000 bytes each
Entries:	600000
IndexSize:	14.31 MiB (estimated)
DataSize:	574.49 MiB (estimated)
---------------------------------------------------------------------------------------------------
Date:		Wed Apr  2 20:11:29 2025
CPU:		2 * AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx
CPUCache:	512 KB
---------------------------------------------------------------------------------------------------
Starting benchmark...
Requested Total Ops: 600000
Threads: 10, Write Ratio: 20%
Random Keys: Yes
---------------------------------------------------------------------------------------------------
[5550] 02 Apr 20:11:29.860 . file.c:200 Creating directory structure: testdb/si
[5550] 02 Apr 20:11:29.861 - file.c:211  -> Creating testdb
[5550] 02 Apr 20:11:29.861 - file.c:211  -> Creating testdb/si
[5550] 02 Apr 20:11:29.863 . sst.c:283 Manifest file not present
[5550] 02 Apr 20:11:29.944 . db.c:58 Starting compaction of the memtable after 4117 insertions and 0 deletions
[5550] 02 Apr 20:11:29.944 . sst.c:595 IN sst_merge the REFCOUNT IS at 3
[5550] 02 Apr 20:11:29.944 - log.c:159 Log file testdb/si/1.log created
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.944 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
[5550] 02 Apr 20:11:29.945 - sst.c:660 Serving sst_get request from immutable memtable
